10,6
11,6
12,7
13,8
14,15
16,6
19,14
20,14
22,14
23,8
25,9
26,8
27,9
28,8
31,6
33,15
34,15
41,14
42,14
43,14
44,14
45,14
46,14
47,9
48,16
49,9
50,16
51,15
52,15
53,15
54,15
55,15
56,15
57,15
58,15
59,14
60,14
61,16
65,16
66,16
67,16
69,6
70,6
71,6
72,6
73,6
74,6
75,6
76,16
77,16
78,6
80,9
81,9
82,9
83,9
84,9
85,9
86,9
87,9
88,7
89,7
90,7
91,16
92,16
93,7
94,7
95,7
96,7
97,7
98,8
99,16
100,16
105,8
106,8
107,8
108,8
109,8
110,18
111,8
112,7
113,20
114,7
115,17
116,17
117,17
118,17
119,17
120,17
121,17
123,17
124,17
125,17
126,17
127,17
128,17
129,17
131,18
132,18
133,18
134,18
135,18
136,17
137,7
146,6
147,6
148,14
149,7
155,19
156,19
157,19
158,19
160,19
161,19
162,19
163,19
164,19
165,19
166,19
168,20
169,20
170,20
171,4
172,4
173,4
174,4
175,4
177,4
178,4
179,4
180,4
181,4
182,4
183,4
184,4
185,4
186,21
187,21
188,21
189,21
191,21
192,22
193,22
194,22
195,22
196,20
197,20
198,23
199,23
200,23
201,24
202,24
203,24
204,24
205,24
206,24
207,24
208,24
209,14
210,22
211,22
212,22
213,17
214,17
215,20
216,20
217,25
218,25
219,25
220,8
221,8
222,18
223,18
224,8
225,8
226,8
227,8
228,8
229,15
230,15
231,15
232,17
233,20
234,26
235,26
236,26
237,26
239,27
240,27
241,27
243,27
244,28
245,28
246,28
247,28
248,26
249,26
250,26
252,29
253,29
254,29
255,29
256,29
257,29
258,29
259,29
260,29
261,29
262,29
263,29
264,30
265,29
266,30
267,30
268,30
269,30
270,30
271,30
272,30
273,30
274,30
275,30
276,30
277,30
278,30
279,30
280,30
281,31
282,31
283,31
284,31
285,31
286,31
287,31
288,31
289,31
290,31
291,32
292,32
293,33
294,33
295,34
296,34
297,34
298,34
299,34
300,34
301,35
302,35
303,35
304,35
305,35
306,35
307,36
311,36
312,36
313,36
314,37
315,37
316,37
317,37
318,37
319,37
320,37
321,37
322,38
323,38
324,38
325,38
326,38
327,38
328,39
329,39
331,39
332,39
333,39
334,39
335,35
336,35
337,35
338,35
339,35
340,35
342,40
343,40
344,40
345,40
346,40
347,40
348,19
349,8
350,8
351,8
352,8
353,8
354,8
355,8
356,8
358,8
359,27
361,27
362,27
363,41
364,41
365,41
366,32
367,32
368,32
369,14
370,19
372,36
373,36
374,36
375,36
378,17
379,17
380,17
381,17
382,17
383,25
384,25
385,25
386,42
387,42
388,42
389,43
390,43
391,43
392,44
393,44
394,44
395,44
396,44
397,44
398,25
399,47
400,47
401,47
402,47
403,47
404,37
405,37
406,37
407,37
408,37
409,37
410,37
411,37
412,37
413,37
414,37
415,37
416,14
417,9
418,9
419,9
420,9
421,9
